panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
b,GW100,0.5,LUMO,5,5,100/100,45.91,45.91,120.1,225,37_CBr4,-225
b,GW100,0.5,LUMO,5,6,100/100,26.02,26.02,67.35,163,64_AlI3,-163
b,GW100,0.5,LUMO,5,7,100/100,12.94,12.94,41,89,36_CCl4,-89
b,GW100,0.5,LUMO,5,8,100/100,8.34,8.34,23.05,28,36_CCl4,-28
b,GW100,0.5,LUMO,5,9,100/100,6.87,6.87,20.05,27,29_C8H8,-27
b,GW100,0.5,LUMO,5,10,100/100,7.41,7.41,20.05,29,90_C6H5NH2,-29
c,GW100,3,HOMO,2,2,100/100,800.75,800.75,2930.55,4312,16_F2,4312
c,GW100,3,HOMO,2,3,100/100,273.55,273.55,1098.45,1880,16_F2,1880
c,GW100,3,HOMO,2,4,100/100,97.33,97.33,366.55,1107,100_CuCN,1107
c,GW100,3,HOMO,2,5,100/100,56.19,56.19,176.05,1069,100_CuCN,1069
c,GW100,3,HOMO,2,6,100/100,43.44,43.44,132.3,893,100_CuCN,893
c,GW100,3,HOMO,2,7,100/100,41.49,41.49,127.5,891,100_CuCN,891
c,GW100,3,HOMO,2,8,100/100,40.53,40.53,128.35,875,100_CuCN,875
c,GW100,3,HOMO,2,9,100/100,40.25,40.25,129.2,869,100_CuCN,869
c,GW100,3,HOMO,2,10,100/100,40.86,40.86,122.5,869,100_CuCN,869
c,GW100,3,HOMO,3,2,100/100,768.1,768.1,2813.15,4231,16_F2,4231
c,GW100,3,HOMO,3,3,100/100,240.18,240.18,1066.85,1789,16_F2,1789
c,GW100,3,HOMO,3,4,100/100,68.51,68.51,277.65,829,16_F2,829
c,GW100,3,HOMO,3,5,100/100,26.02,26.02,89.2,313,100_CuCN,313
c,GW100,3,HOMO,3,6,100/100,12.23,12.23,63.2,112,88_C6F6,-112
c,GW100,3,HOMO,3,7,100/100,9.82,9.82,37.7,116,88_C6F6,-116
c,GW100,3,HOMO,3,8,100/100,9.31,9.31,34.4,115,88_C6F6,-115
c,GW100,3,HOMO,3,9,100/100,8.9,8.9,32.3,116,88_C6F6,-116
c,GW100,3,HOMO,3,10,100/100,9.74,9.74,49.05,116,88_C6F6,-116
c,GW100,3,HOMO,4,2,100/100,758.46,758.46,2812.4,4213,16_F2,4213
c,GW100,3,HOMO,4,3,100/100,231.96,231.96,1045,1778,16_F2,1778
c,GW100,3,HOMO,4,4,100/100,63.99,63.99,305.3,821,16_F2,821
c,GW100,3,HOMO,4,5,100/100,21.68,21.68,78.75,290,100_CuCN,290
c,GW100,3,HOMO,4,6,100/100,8.28,8.28,27.65,108,88_C6F6,-108
c,GW100,3,HOMO,4,7,100/100,6.46,6.46,25.6,126,88_C6F6,-126
c,GW100,3,HOMO,4,8,100/100,5.64,5.64,18.05,121,88_C6F6,-121
c,GW100,3,HOMO,4,9,100/100,5.06,5.06,14.05,121,88_C6F6,-121
c,GW100,3,HOMO,4,10,100/100,6.32,6.32,19.05,122,88_C6F6,-122
c,GW100,3,HOMO,5,2,100/100,755.79,755.79,2812.3,4211,16_F2,4211
c,GW100,3,HOMO,5,3,100/100,228.92,228.92,990.7,1775,16_F2,1775
c,GW100,3,HOMO,5,4,100/100,63.03,63.03,303.35,819,16_F2,819
c,GW100,3,HOMO,5,5,100/100,20.71,20.71,77.85,270,100_CuCN,270
c,GW100,3,HOMO,5,6,100/100,7.65,7.65,25.05,110,88_C6F6,-110
c,GW100,3,HOMO,5,7,100/100,5.6,5.6,20.2,124,88_C6F6,-124
c,GW100,3,HOMO,5,8,100/100,4.93,4.93,13.05,122,88_C6F6,-122
c,GW100,3,HOMO,5,9,100/100,4.45,4.45,12,122,88_C6F6,-122
c,GW100,3,HOMO,5,10,100/100,5.68,5.68,13.05,123,88_C6F6,-123
d,GW100,3,LUMO,2,2,100/100,253.04,253.04,824.55,2977,16_F2,2977
d,GW100,3,LUMO,2,3,100/100,107.07,107.07,422.2,1409,16_F2,1409
d,GW100,3,LUMO,2,4,100/100,37.31,37.31,111.2,376,84_BeO,376
d,GW100,3,LUMO,2,5,100/100,18.04,18.04,61.05,150,16_F2,150
d,GW100,3,LUMO,2,6,100/100,14.06,14.06,49.5,74,56_TiF4,74
d,GW100,3,LUMO,2,7,100/100,13.56,13.56,42.85,72,56_TiF4,72
d,GW100,3,LUMO,2,8,100/100,13.2,13.2,41.75,73,11_K2,73
d,GW100,3,LUMO,2,9,100/100,13.6,13.6,40.8,74,11_K2,74
d,GW100,3,LUMO,2,10,100/100,13.7,13.7,43.65,76,11_K2,76
d,GW100,3,LUMO,3,2,100/100,238.65,238.65,793.95,2909,16_F2,2909
d,GW100,3,LUMO,3,3,100/100,99.5,99.5,379.75,1349,16_F2,1349
d,GW100,3,LUMO,3,4,100/100,31.1,31.1,114.45,376,84_BeO,376
d,GW100,3,LUMO,3,5,100/100,10.39,10.39,31.15,139,16_F2,139
d,GW100,3,LUMO,3,6,100/100,4.83,4.83,16.1,24,98_Ag2,24
d,GW100,3,LUMO,3,7,100/100,4.09,4.09,14.05,21,88_C6F6,21
d,GW100,3,LUMO,3,8,100/100,3.79,3.79,12.1,19,88_C6F6,19
d,GW100,3,LUMO,3,9,100/100,3.91,3.91,15,19,84_BeO,19
d,GW100,3,LUMO,3,10,100/100,4.65,4.65,15.05,64,84_BeO,64
d,GW100,3,LUMO,4,2,100/100,235.9,235.9,787.9,2897,16_F2,2897
d,GW100,3,LUMO,4,3,100/100,97.64,97.64,375.6,1336,16_F2,1336
d,GW100,3,LUMO,4,4,100/100,29.54,29.54,107.35,379,84_BeO,379
d,GW100,3,LUMO,4,5,100/100,9.32,9.32,32.05,132,16_F2,132
d,GW100,3,LUMO,4,6,100/100,3.71,3.71,12,27,98_Ag2,27
d,GW100,3,LUMO,4,7,100/100,2.39,2.39,9.05,14,34_C2H3I,14
d,GW100,3,LUMO,4,8,100/100,2.39,2.39,9.1,16,34_C2H3I,16
d,GW100,3,LUMO,4,9,100/100,2.51,2.51,11,17,84_BeO,17
d,GW100,3,LUMO,4,10,100/100,3.61,3.61,12.1,89,84_BeO,89
d,GW100,3,LUMO,5,2,100/100,234.98,234.98,787.9,2895,16_F2,2895
d,GW100,3,LUMO,5,3,100/100,97.11,97.11,375.5,1333,16_F2,1333
d,GW100,3,LUMO,5,4,100/100,29.01,29.01,105.35,379,84_BeO,379
d,GW100,3,LUMO,5,5,100/100,8.85,8.85,31.1,131,16_F2,131
d,GW100,3,LUMO,5,6,100/100,3.18,3.18,9.1,27,98_Ag2,27
d,GW100,3,LUMO,5,7,100/100,1.96,1.96,6.05,14,34_C2H3I,14
d,GW100,3,LUMO,5,8,100/100,2.05,2.05,8.05,15,34_C2H3I,15
d,GW100,3,LUMO,5,9,100/100,2.25,2.25,9.05,17,84_BeO,17
d,GW100,3,LUMO,5,10,100/100,3.28,3.28,9.2,88,84_BeO,88
e,GW100,5,HOMO,2,2,100/100,755.88,755.88,2930.55,4312,16_F2,4312
e,GW100,5,HOMO,2,3,100/100,258.12,258.12,1069.95,1880,16_F2,1880
e,GW100,5,HOMO,2,4,100/100,93,93,309.55,1107,100_CuCN,1107
e,GW100,5,HOMO,2,5,100/100,55.21,55.21,150.35,1069,100_CuCN,1069
e,GW100,5,HOMO,2,6,100/100,42.49,42.49,118.35,893,100_CuCN,893
e,GW100,5,HOMO,2,7,100/100,41.05,41.05,120.2,891,100_CuCN,891
e,GW100,5,HOMO,2,8,100/100,40.27,40.27,118.35,875,100_CuCN,875
e,GW100,5,HOMO,2,9,100/100,39.88,39.88,118.3,869,100_CuCN,869
e,GW100,5,HOMO,2,10,100/100,40.43,40.43,118.3,869,100_CuCN,869
e,GW100,5,HOMO,3,2,100/100,721.36,721.36,2813.15,4263,16_F2,4263
e,GW100,5,HOMO,3,3,100/100,223.44,223.44,917.7,1789,16_F2,1789
e,GW100,5,HOMO,3,4,100/100,64.11,64.11,274.2,829,16_F2,829
e,GW100,5,HOMO,3,5,100/100,24.83,24.83,104.2,313,100_CuCN,313
e,GW100,5,HOMO,3,6,100/100,11.3,11.3,63,111,88_C6F6,-111
e,GW100,5,HOMO,3,7,100/100,9.45,9.45,31.05,114,88_C6F6,-114
e,GW100,5,HOMO,3,8,100/100,8.95,8.95,28.2,116,88_C6F6,-116
e,GW100,5,HOMO,3,9,100/100,8.56,8.56,24.15,116,88_C6F6,-116
e,GW100,5,HOMO,3,10,100/100,9.52,9.52,49.05,116,88_C6F6,-116
e,GW100,5,HOMO,4,2,100/100,712.62,712.62,2812.4,4213,16_F2,4213
e,GW100,5,HOMO,4,3,100/100,215.53,215.53,894.9,1778,16_F2,1778
e,GW100,5,HOMO,4,4,100/100,59.91,59.91,274.55,821,16_F2,821
e,GW100,5,HOMO,4,5,100/100,20.46,20.46,94.75,290,100_CuCN,290
e,GW100,5,HOMO,4,6,100/100,7.62,7.62,33.3,116,88_C6F6,-116
e,GW100,5,HOMO,4,7,100/100,5.93,5.93,25,120,88_C6F6,-120
e,GW100,5,HOMO,4,8,100/100,5.33,5.33,14.1,121,88_C6F6,-121
e,GW100,5,HOMO,4,9,100/100,4.72,4.72,11.05,121,88_C6F6,-121
e,GW100,5,HOMO,4,10,100/100,6.12,6.12,15.15,121,88_C6F6,-121
e,GW100,5,HOMO,5,2,100/100,709.52,709.52,2812.3,4211,16_F2,4211
e,GW100,5,HOMO,5,3,100/100,213.69,213.69,893.95,1775,16_F2,1775
