panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,published_meV
p,Si293H172,3.0,LUMO,5,7,2.0
p,Si293H172,3.0,LUMO,5,8,1.0
p,Si293H172,3.0,LUMO,5,9,1.0
p,Si293H172,3.0,LUMO,5,10,1.0
q,Si293H172,5.0,HOMO,2,2,305.0
q,Si293H172,5.0,HOMO,2,3,74.0
q,Si293H172,5.0,HOMO,2,4,28.0
q,Si293H172,5.0,HOMO,2,5,2.0
q,Si293H172,5.0,HOMO,2,6,2.0
q,Si293H172,5.0,HOMO,2,7,1.0
q,Si293H172,5.0,HOMO,2,8,1.0
q,Si293H172,5.0,HOMO,2,9,1.0
q,Si293H172,5.0,HOMO,2,10,1.0
q,Si293H172,5.0,HOMO,3,2,298.0
q,Si293H172,5.0,HOMO,3,3,68.0
q,Si293H172,5.0,HOMO,3,4,24.0
q,Si293H172,5.0,HOMO,3,5,3.0
q,Si293H172,5.0,HOMO,3,6,6.0
q,Si293H172,5.0,HOMO,3,7,4.0
q,Si293H172,5.0,HOMO,3,8,5.0
q,Si293H172,5.0,HOMO,3,9,4.0
q,Si293H172,5.0,HOMO,3,10,4.0
q,Si293H172,5.0,HOMO,4,2,295.0
q,Si293H172,5.0,HOMO,4,3,66.0
q,Si293H172,5.0,HOMO,4,4,23.0
q,Si293H172,5.0,HOMO,4,5,3.0
q,Si293H172,5.0,HOMO,4,6,6.0
q,Si293H172,5.0,HOMO,4,7,5.0
q,Si293H172,5.0,HOMO,4,8,5.0
q,Si293H172,5.0,HOMO,4,9,5.0
q,Si293H172,5.0,HOMO,4,10,4.0
q,Si293H172,5.0,HOMO,5,2,292.0
q,Si293H172,5.0,HOMO,5,3,64.0
q,Si293H172,5.0,HOMO,5,4,20.0
q,Si293H172,5.0,HOMO,5,5,6.0
q,Si293H172,5.0,HOMO,5,6,9.0
q,Si293H172,5.0,HOMO,5,7,7.0
q,Si293H172,5.0,HOMO,5,8,7.0
q,Si293H172,5.0,HOMO,5,9,7.0
q,Si293H172,5.0,HOMO,5,10,6.0
r,Si293H172,5.0,LUMO,2,2,9.0
r,Si293H172,5.0,LUMO,2,3,4.0
r,Si293H172,5.0,LUMO,2,4,5.0
r,Si293H172,5.0,LUMO,2,5,8.0
r,Si293H172,5.0,LUMO,2,6,2.0
r,Si293H172,5.0,LUMO,2,7,1.0
r,Si293H172,5.0,LUMO,2,8,1.0
r,Si293H172,5.0,LUMO,2,9,1.0
r,Si293H172,5.0,LUMO,2,10,1.0
r,Si293H172,5.0,LUMO,3,2,8.0
r,Si293H172,5.0,LUMO,3,3,2.0
r,Si293H172,5.0,LUMO,3,4,4.0
r,Si293H172,5.0,LUMO,3,5,2.0
r,Si293H172,5.0,LUMO,3,6,1.0
r,Si293H172,5.0,LUMO,3,7,1.0
r,Si293H172,5.0,LUMO,3,8,2.0
r,Si293H172,5.0,LUMO,3,9,2.0
r,Si293H172,5.0,LUMO,3,10,2.0
r,Si293H172,5.0,LUMO,4,2,3.0
r,Si293H172,5.0,LUMO,4,3,6.0
r,Si293H172,5.0,LUMO,4,4,7.0
r,Si293H172,5.0,LUMO,4,5,4.0
r,Si293H172,5.0,LUMO,4,6,1.0
r,Si293H172,5.0,LUMO,4,7,1.0
r,Si293H172,5.0,LUMO,4,8,1.0
r,Si293H172,5.0,LUMO,4,9,1.0
r,Si293H172,5.0,LUMO,4,10,1.0
r,Si293H172,5.0,LUMO,5,2,4.0
r,Si293H172,5.0,LUMO,5,3,5.0
r,Si293H172,5.0,LUMO,5,4,6.0
r,Si293H172,5.0,LUMO,5,5,2.0
r,Si293H172,5.0,LUMO,5,6,1.0
r,Si293H172,5.0,LUMO,5,7,1.0
r,Si293H172,5.0,LUMO,5,8,1.0
r,Si293H172,5.0,LUMO,5,9,1.0
r,Si293H172,5.0,LUMO,5,10,1.0
