panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,published_meV
d,GW100,3.0,LUMO,5,4,29.01
d,GW100,3.0,LUMO,5,5,8.85
d,GW100,3.0,LUMO,5,6,3.18
d,GW100,3.0,LUMO,5,7,1.96
d,GW100,3.0,LUMO,5,8,2.05
d,GW100,3.0,LUMO,5,9,2.25
d,GW100,3.0,LUMO,5,10,3.28
e,GW100,5.0,HOMO,2,2,755.88
e,GW100,5.0,HOMO,2,3,258.12
e,GW100,5.0,HOMO,2,4,93.0
e,GW100,5.0,HOMO,2,5,55.21
e,GW100,5.0,HOMO,2,6,42.49
e,GW100,5.0,HOMO,2,7,41.05
e,GW100,5.0,HOMO,2,8,40.27
e,GW100,5.0,HOMO,2,9,39.88
e,GW100,5.0,HOMO,2,10,40.43
e,GW100,5.0,HOMO,3,2,721.36
e,GW100,5.0,HOMO,3,3,223.44
e,GW100,5.0,HOMO,3,4,64.11
e,GW100,5.0,HOMO,3,5,24.83
e,GW100,5.0,HOMO,3,6,11.3
e,GW100,5.0,HOMO,3,7,9.45
e,GW100,5.0,HOMO,3,8,8.95
e,GW100,5.0,HOMO,3,9,8.56
e,GW100,5.0,HOMO,3,10,9.52
e,GW100,5.0,HOMO,4,2,712.62
e,GW100,5.0,HOMO,4,3,215.53
e,GW100,5.0,HOMO,4,4,59.91
e,GW100,5.0,HOMO,4,5,20.46
e,GW100,5.0,HOMO,4,6,7.62
e,GW100,5.0,HOMO,4,7,5.93
e,GW100,5.0,HOMO,4,8,5.33
e,GW100,5.0,HOMO,4,9,4.72
e,GW100,5.0,HOMO,4,10,6.12
e,GW100,5.0,HOMO,5,2,709.52
e,GW100,5.0,HOMO,5,3,213.69
e,GW100,5.0,HOMO,5,4,58.74
e,GW100,5.0,HOMO,5,5,19.66
e,GW100,5.0,HOMO,5,6,6.82
e,GW100,5.0,HOMO,5,7,5.1
e,GW100,5.0,HOMO,5,8,4.58
e,GW100,5.0,HOMO,5,9,4.12
e,GW100,5.0,HOMO,5,10,5.48
f,GW100,5.0,LUMO,2,2,243.33
f,GW100,5.0,LUMO,2,3,106.72
f,GW100,5.0,LUMO,2,4,37.91
f,GW100,5.0,LUMO,2,5,18.49
f,GW100,5.0,LUMO,2,6,13.52
f,GW100,5.0,LUMO,2,7,13.01
f,GW100,5.0,LUMO,2,8,13.04
f,GW100,5.0,LUMO,2,9,13.36
f,GW100,5.0,LUMO,2,10,13.41
f,GW100,5.0,LUMO,3,2,227.95
f,GW100,5.0,LUMO,3,3,97.06
f,GW100,5.0,LUMO,3,4,29.72
f,GW100,5.0,LUMO,3,5,19.27
f,GW100,5.0,LUMO,3,6,4.51
f,GW100,5.0,LUMO,3,7,3.96
f,GW100,5.0,LUMO,3,8,3.85
f,GW100,5.0,LUMO,3,9,3.78
f,GW100,5.0,LUMO,3,10,4.49
f,GW100,5.0,LUMO,4,2,224.61
f,GW100,5.0,LUMO,4,3,95.11
f,GW100,5.0,LUMO,4,4,27.84
f,GW100,5.0,LUMO,4,5,18.1
f,GW100,5.0,LUMO,4,6,3.01
f,GW100,5.0,LUMO,4,7,2.36
f,GW100,5.0,LUMO,4,8,2.46
f,GW100,5.0,LUMO,4,9,2.38
f,GW100,5.0,LUMO,4,10,3.45
f,GW100,5.0,LUMO,5,2,224.06
f,GW100,5.0,LUMO,5,3,95.14
f,GW100,5.0,LUMO,5,4,27.66
f,GW100,5.0,LUMO,5,5,18.28
f,GW100,5.0,LUMO,5,6,2.76
f,GW100,5.0,LUMO,5,7,1.91
f,GW100,5.0,LUMO,5,8,2.23
f,GW100,5.0,LUMO,5,9,2.06
f,GW100,5.0,LUMO,5,10,3.08
g,Si45H56,0.5,HOMO,2,2,728.0
g,Si45H56,0.5,HOMO,2,3,317.0
g,Si45H56,0.5,HOMO,2,4,563.0
g,Si45H56,0.5,HOMO,2,5,541.0
g,Si45H56,0.5,HOMO,2,6,157.0
g,Si45H56,0.5,HOMO,2,7,105.0
g,Si45H56,0.5,HOMO,2,8,62.0
g,Si45H56,0.5,HOMO,2,9,56.0
g,Si45H56,0.5,HOMO,2,10,50.0
g,Si45H56,0.5,HOMO,3,2,720.0
g,Si45H56,0.5,HOMO,3,3,312.0
g,Si45H56,0.5,HOMO,3,4,554.0
g,Si45H56,0.5,HOMO,3,5,533.0
g,Si45H56,0.5,HOMO,3,6,148.0
g,Si45H56,0.5,HOMO,3,7,96.0
g,Si45H56,0.5,HOMO,3,8,54.0
g,Si45H56,0.5,HOMO,3,9,49.0
g,Si45H56,0.5,HOMO,3,10,43.0
g,Si45H56,0.5,HOMO,4,2,719.0
g,Si45H56,0.5,HOMO,4,3,309.0
g,Si45H56,0.5,HOMO,4,4,551.0
g,Si45H56,0.5,HOMO,4,5,531.0
g,Si45H56,0.5,HOMO,4,6,144.0
g,Si45H56,0.5,HOMO,4,7,93.0
g,Si45H56,0.5,HOMO,4,8,51.0
g,Si45H56,0.5,HOMO,4,9,46.0
g,Si45H56,0.5,HOMO,4,10,42.0
g,Si45H56,0.5,HOMO,5,2,715.0
g,Si45H56,0.5,HOMO,5,3,308.0
g,Si45H56,0.5,HOMO,5,4,549.0
g,Si45H56,0.5,HOMO,5,5,530.0
g,Si45H56,0.5,HOMO,5,6,145.0
g,Si45H56,0.5,HOMO,5,7,93.0
g,Si45H56,0.5,HOMO,5,8,52.0
g,Si45H56,0.5,HOMO,5,9,44.0
g,Si45H56,0.5,HOMO,5,10,44.0
h,Si45H56,0.5,LUMO,2,2,611.0
h,Si45H56,0.5,LUMO,2,3,324.0
h,Si45H56,0.5,LUMO,2,4,848.0
h,Si45H56,0.5,LUMO,2,5,477.0
h,Si45H56,0.5,LUMO,2,6,144.0
h,Si45H56,0.5,LUMO,2,7,100.0
h,Si45H56,0.5,LUMO,2,8,70.0
h,Si45H56,0.5,LUMO,2,9,63.0
h,Si45H56,0.5,LUMO,2,10,54.0
h,Si45H56,0.5,LUMO,3,2,619.0
h,Si45H56,0.5,LUMO,3,3,332.0
h,Si45H56,0.5,LUMO,3,4,854.0
h,Si45H56,0.5,LUMO,3,5,484.0
h,Si45H56,0.5,LUMO,3,6,147.0
h,Si45H56,0.5,LUMO,3,7,103.0
h,Si45H56,0.5,LUMO,3,8,74.0
h,Si45H56,0.5,LUMO,3,9,69.0
h,Si45H56,0.5,LUMO,3,10,61.0
h,Si45H56,0.5,LUMO,4,2,623.0
h,Si45H56,0.5,LUMO,4,3,333.0
h,Si45H56,0.5,LUMO,4,4,854.0
h,Si45H56,0.5,LUMO,4,5,484.0
h,Si45H56,0.5,LUMO,4,6,147.0
h,Si45H56,0.5,LUMO,4,7,104.0
h,Si45H56,0.5,LUMO,4,8,76.0
h,Si45H56,0.5,LUMO,4,9,69.0
h,Si45H56,0.5,LUMO,4,10,62.0
h,Si45H56,0.5,LUMO,5,2,622.0
h,Si45H56,0.5,LUMO,5,3,334.0
h,Si45H56,0.5,LUMO,5,4,856.0
h,Si45H56,0.5,LUMO,5,5,486.0
h,Si45H56,0.5,LUMO,5,6,151.0
h,Si45H56,0.5,LUMO,5,7,105.0
h,Si45H56,0.5,LUMO,5,8,75.0
h,Si45H56,0.5,LUMO,5,9,70.0
h,Si45H56,0.5,LUMO,5,10,68.0
i,Si45H56,3.0,HOMO,2,2,291.0
i,Si45H56,3.0,HOMO,2,3,89.0
i,Si45H56,3.0,HOMO,2,4,45.0
i,Si45H56,3.0,HOMO,2,5,3.0
i,Si45H56,3.0,HOMO,2,6,5.0
i,Si45H56,3.0,HOMO,2,7,7.0
i,Si45H56,3.0,HOMO,2,8,6.0
i,Si45H56,3.0,HOMO,2,9,7.0
i,Si45H56,3.0,HOMO,2,10,7.0
i,Si45H56,3.0,HOMO,3,2,282.0
i,Si45H56,3.0,HOMO,3,3,82.0
i,Si45H56,3.0,HOMO,3,4,39.0
i,Si45H56,3.0,HOMO,3,5,2.0
i,Si45H56,3.0,HOMO,3,6,1.0
i,Si45H56,3.0,HOMO,3,7,1.0
i,Si45H56,3.0,HOMO,3,8,1.0
i,Si45H56,3.0,HOMO,3,9,1.0
i,Si45H56,3.0,HOMO,3,10,1.0
i,Si45H56,3.0,HOMO,4,2,279.0
i,Si45H56,3.0,HOMO,4,3,80.0
i,Si45H56,3.0,HOMO,4,4,37.0
i,Si45H56,3.0,HOMO,4,5,4.0
i,Si45H56,3.0,HOMO,4,6,3.0
i,Si45H56,3.0,HOMO,4,7,1.0
i,Si45H56,3.0,HOMO,4,8,1.0
i,Si45H56,3.0,HOMO,4,9,1.0
i,Si45H56,3.0,HOMO,4,10,1.0
i,Si45H56,3.0,HOMO,5,2,278.0
i,Si45H56,3.0,HOMO,5,3,79.0
i,Si45H56,3.0,HOMO,5,4,36.0
i,Si45H56,3.0,HOMO,5,5,3.0
i,Si45H56,3.0,HOMO,5,6,5.0
i,Si45H56,3.0,HOMO,5,7,3.0
i,Si45H56,3.0,HOMO,5,8,4.0
i,Si45H56,3.0,HOMO,5,9,4.0
i,Si45H56,3.0,HOMO,5,10,3.0
j,Si45H56,3.0,LUMO,2,2,109.0
j,Si45H56,3.0,LUMO,2,3,31.0
j,Si45H56,3.0,LUMO,2,4,13.0
j,Si45H56,3.0,LUMO,2,5,11.0
j,Si45H56,3.0,LUMO,2,6,14.0
j,Si45H56,3.0,LUMO,2,7,16.0
j,Si45H56,3.0,LUMO,2,8,18.0
j,Si45H56,3.0,LUMO,2,9,20.0
j,Si45H56,3.0,LUMO,2,10,17.0
j,Si45H56,3.0,LUMO,3,2,114.0
j,Si45H56,3.0,LUMO,3,3,37.0
j,Si45H56,3.0,LUMO,3,4,20.0
j,Si45H56,3.0,LUMO,3,5,4.0
j,Si45H56,3.0,LUMO,3,6,4.0
j,Si45H56,3.0,LUMO,3,7,23.0
j,Si45H56,3.0,LUMO,3,8,16.0
j,Si45H56,3.0,LUMO,3,9,15.0
j,Si45H56,3.0,LUMO,3,10,25.0
j,Si45H56,3.0,LUMO,4,2,116.0
j,Si45H56,3.0,LUMO,4,3,39.0
j,Si45H56,3.0,LUMO,4,4,22.0
j,Si45H56,3.0,LUMO,4,5,1.0
j,Si45H56,3.0,LUMO,4,6,4.0
j,Si45H56,3.0,LUMO,4,7,6.0
j,Si45H56,3.0,LUMO,4,8,6.0
j,Si45H56,3.0,LUMO,4,9,7.0
j,Si45H56,3.0,LUMO,4,10,7.0
j,Si45H56,3.0,LUMO,5,2,120.0
j,Si45H56,3.0,LUMO,5,3,44.0
j,Si45H56,3.0,LUMO,5,4,31.0
j,Si45H56,3.0,LUMO,5,5,10.0
j,Si45H56,3.0,LUMO,5,6,7.0
j,Si45H56,3.0,LUMO,5,7,5.0
j,Si45H56,3.0,LUMO,5,8,4.0
j,Si45H56,3.0,LUMO,5,9,3.0
j,Si45H56,3.0,LUMO,5,10,3.0
k,Si45H56,5.0,HOMO,2,2,228.0
k,Si45H56,5.0,HOMO,2,3,64.0
k,Si45H56,5.0,HOMO,2,4,25.0
k,Si45H56,5.0,HOMO,2,5,5.0
k,Si45H56,5.0,HOMO,2,6,3.0
k,Si45H56,5.0,HOMO,2,7,6.0
k,Si45H56,5.0,HOMO,2,8,5.0
k,Si45H56,5.0,HOMO,2,9,6.0
k,Si45H56,5.0,HOMO,2,10,5.0
k,Si45H56,5.0,HOMO,3,2,222.0
k,Si45H56,5.0,HOMO,3,3,58.0
k,Si45H56,5.0,HOMO,3,4,20.0
k,Si45H56,5.0,HOMO,3,5,1.0
k,Si45H56,5.0,HOMO,3,6,3.0
k,Si45H56,5.0,HOMO,3,7,1.0
k,Si45H56,5.0,HOMO,3,8,1.0
k,Si45H56,5.0,HOMO,3,9,1.0
k,Si45H56,5.0,HOMO,3,10,1.0
k,Si45H56,5.0,HOMO,4,2,219.0
k,Si45H56,5.0,HOMO,4,3,56.0
k,Si45H56,5.0,HOMO,4,4,18.0
k,Si45H56,5.0,HOMO,4,5,2.0
k,Si45H56,5.0,HOMO,4,6,4.0
k,Si45H56,5.0,HOMO,4,7,1.0
k,Si45H56,5.0,HOMO,4,8,2.0
k,Si45H56,5.0,HOMO,4,9,1.0
k,Si45H56,5.0,HOMO,4,10,2.0
k,Si45H56,5.0,HOMO,5,2,217.0
k,Si45H56,5.0,HOMO,5,3,56.0
k,Si45H56,5.0,HOMO,5,4,16.0
k,Si45H56,5.0,HOMO,5,5,3.0
k,Si45H56,5.0,HOMO,5,6,7.0
k,Si45H56,5.0,HOMO,5,7,4.0
k,Si45H56,5.0,HOMO,5,8,5.0
k,Si45H56,5.0,HOMO,5,9,6.0
k,Si45H56,5.0,HOMO,5,10,6.0
l,Si45H56,5.0,LUMO,2,2,9.0
l,Si45H56,5.0,LUMO,2,3,16.0
l,Si45H56,5.0,LUMO,2,4,9.0
l,Si45H56,5.0,LUMO,2,5,17.0
l,Si45H56,5.0,LUMO,2,6,17.0
l,Si45H56,5.0,LUMO,2,7,42.0
l,Si45H56,5.0,LUMO,2,8,31.0
l,Si45H56,5.0,LUMO,2,9,13.0
l,Si45H56,5.0,LUMO,2,10,16.0
l,Si45H56,5.0,LUMO,3,2,1.0
l,Si45H56,5.0,LUMO,3,3,8.0
l,Si45H56,5.0,LUMO,3,4,4.0
l,Si45H56,5.0,LUMO,3,5,14.0
l,Si45H56,5.0,LUMO,3,6,23.0
l,Si45H56,5.0,LUMO,3,7,20.0
l,Si45H56,5.0,LUMO,3,8,2.0
l,Si45H56,5.0,LUMO,3,9,24.0
l,Si45H56,5.0,LUMO,3,10,24.0
l,Si45H56,5.0,LUMO,4,2,1.0
l,Si45H56,5.0,LUMO,4,3,4.0
l,Si45H56,5.0,LUMO,4,4,1.0
l,Si45H56,5.0,LUMO,4,5,6.0
l,Si45H56,5.0,LUMO,4,6,5.0
l,Si45H56,5.0,LUMO,4,7,16.0
l,Si45H56,5.0,LUMO,4,8,11.0
l,Si45H56,5.0,LUMO,4,9,8.0
l,Si45H56,5.0,LUMO,4,10,7.0
l,Si45H56,5.0,LUMO,5,2,5.0
l,Si45H56,5.0,LUMO,5,3,5.0
l,Si45H56,5.0,LUMO,5,4,11.0
l,Si45H56,5.0,LUMO,5,5,6.0
l,Si45H56,5.0,LUMO,5,6,6.0
l,Si45H56,5.0,LUMO,5,7,4.0
l,Si45H56,5.0,LUMO,5,8,4.0
l,Si45H56,5.0,LUMO,5,9,3.0
l,Si45H56,5.0,LUMO,5,10,4.0
m,Si293H172,0.5,HOMO,2,2,905.0
m,Si293H172,0.5,HOMO,2,3,277.0
m,Si293H172,0.5,HOMO,2,4,190.0
m,Si293H172,0.5,HOMO,2,5,351.0
m,Si293H172,0.5,HOMO,2,6,384.0
m,Si293H172,0.5,HOMO,2,7,153.0
m,Si293H172,0.5,HOMO,2,8,107.0
m,Si293H172,0.5,HOMO,2,9,43.0
m,Si293H172,0.5,HOMO,2,10,38.0
m,Si293H172,0.5,HOMO,3,2,899.0
m,Si293H172,0.5,HOMO,3,3,275.0
m,Si293H172,0.5,HOMO,3,4,187.0
