system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1,1,176,176
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,11,11
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,23,23
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,1,3,3
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,1,7,7
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,1,0.999999999999,1
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,1,26,26
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,1,4,4
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,1,3,3
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,1,4,4
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,1,3,3
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,1,94,94
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,1,162,162
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,34,34
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,52,52
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,1,8,8
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,1,7,7
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,1,2,2
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,1,1,1
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,1,4,4
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,1,3,3
Si45H56,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,1,5,5
Si45H56,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,1,3,3
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,1,113,113
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,1,212,212
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,60,60
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,63,63
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,1,21,21
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,1,19,19
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,1,12,12
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,1,1,1
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,1,8,8
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,1,1,1
Si45H56,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,1,5,5
Si45H56,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,1,2,2
