system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.831771753252935,91,17.890109890109848,17.890109890109848
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.831771753252935,91,21.41758241758242,21.41758241758242
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.3212703140923834,89,14.370786516853917,14.370786516853917
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.3212703140923834,89,18.516853932584283,18.516853932584283
GW100,homo,tabulated,tabulated_RI,,Tabulated_t1e-7,5.217217540780072,77,9.870129870129706,9.870129870129706
GW100,lumo,tabulated,tabulated_RI,,Tabulated_t1e-7,5.217217540780072,77,16.597402597402617,16.597402597402617
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,1,86.99999999999974,86.99999999999974
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,1,179.00000000000017,179.00000000000017
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,12.000000000000455,12.000000000000455
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,26.00000000000002,26.00000000000002
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,1,4.000000000000448,4.000000000000448
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,1,10.000000000000009,10.000000000000009
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,1,1.9999999999997797,1.9999999999997797
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,1,22.999999999999908,22.999999999999908
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,1,3.0000000000001137,3.0000000000001137
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,1,0.0,1.0
Si45H56,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,1,3.0000000000001137,3.0000000000001137
Si45H56,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,1,0.0,1.0
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,1,94.99999999999974,94.99999999999974
